t,x
40001,850.1307984
40101,849.7246783
40201,849.3138914
40301,848.8983808
40401,848.4780888
40501,848.0529569
40601,847.6229254
40701,847.1879339
40801,846.747921
40901,846.3028245
41001,845.8525809
41101,845.3971259
41201,844.9363944
41301,844.4703199
41401,843.9988351
41501,843.5218717
41601,843.0393601
41701,842.5512299
41801,842.0574094
41901,841.5578258
42001,841.0524053
42101,840.5410727
42201,840.0237519
42301,839.5003655
42401,838.9708348
42501,838.43508
42601,837.89302
42701,837.3445724
42801,836.7896535
42901,836.2281784
43001,835.6600609
43101,835.0852132
43201,834.5035463
43301,833.9149698
43401,833.319392
43501,832.7167194
43601,832.1068575
43701,831.48971
43801,830.8651791
43901,830.2331657
44001,829.593569
44101,828.9462866
44201,828.2912146
44301,827.6282473
44401,826.9572775
44501,826.2781964
44601,825.5908933
44701,824.8952559
44801,824.1911702
44901,823.4785203
45001,822.7571886
45101,822.0270556
45201,821.2880001
45301,820.5398988
45401,819.7826266
45501,819.0160566
45601,818.2400598
45701,817.4545052
45801,816.6592598
45901,815.8541888
46001,815.0391549
46101,814.2140191
46201,813.3786402
46301,812.5328746
46401,811.6765768
46501,810.8095991
46601,809.9317914
46701,809.0430015
46801,808.1430749
46901,807.2318547
47001,806.3091817
47101,805.3748945
47201,804.4288291
47301,803.4708191
47401,802.500696
47501,801.5182883
47601,800.5234226
47701,799.5159225
47801,798.4956093
47901,797.4623018
48001,796.4158161
48101,795.3559657
48201,794.2825617
48301,793.1954123
48401,792.0943232
48501,790.9790973
48601,789.8495351
48701,788.705434
48801,787.546589
48901,786.3727923
49001,785.1838332
49101,783.9794985
49201,782.7595722
49301,781.5238353
49401,780.2720663
49501,779.004041
49601,777.7195321
49701,776.4183098
49801,775.1001415
49901,773.764792
50001,772.412023
50101,771.0415938
50201,769.6532609
50301,768.2467782
50401,766.8218968
50501,765.3783653
50601,763.9159296
50701,762.4343332
50801,760.933317
50901,759.4126194
51001,757.8719765
51101,756.3111218
51201,754.7297869
51301,753.1277007
51401,751.5045904
51501,749.8601807
51601,748.1941947
51701,746.5063533
51801,744.7963757
51901,743.0639795
52001,741.3088807
52101,739.5307937
52201,737.7294317
52301,735.9045069
52401,734.0557301
52501,732.1828116
52601,730.2854608
52701,728.3633866
52801,726.4162977
52901,724.4439028
53001,722.4459104
53101,720.4220295
53201,718.3719699
53301,716.2954419
53401,714.1921572
53501,712.0618287
53601,709.9041713
53701,707.7189016
53801,705.5057389
53901,703.2644049
54001,700.9946247
54101,698.6961267
54201,696.3686432
54301,694.0119108
54401,691.6256712
54501,689.2096708
54601,686.7636622
54701,684.2874039
54801,681.7806614
54901,679.2432075
55001,676.6748228
55101,674.0752965
55201,671.4444271
55301,668.7820227
55401,666.0879021
55501,663.361895
55601,660.6038434
55701,657.8136018
55801,654.9910384
55901,652.1360355
56001,649.2484908
56101,646.328318
56201,643.3754476
56301,640.3898284
56401,637.3714278
56501,634.3202332
56601,631.2362529
56701,628.1195173
56801,624.9700796
56901,621.7880177
57001,618.5734343
57101,615.3264591
57201,612.0472494
57301,608.7359913
57401,605.3929013
57501,602.0182277
57601,598.6122512
57701,595.1752871
57801,591.707686
57901,588.2098356
58001,584.6821619
58101,581.1251306
58201,577.5392488
58301,573.9250661
58401,570.2831763
58501,566.6142187
58601,562.9188796
58701,559.1978941
58801,555.4520468
58901,551.6821743
59001,547.8891656
59101,544.0739644
59201,540.2375698
59301,536.3810383
59401,532.5054849
59501,528.6120841
59601,524.7020718
59701,520.7767461
59801,516.8374687
59901,512.8856659
60001,508.9228295
60101,504.9505183
60201,500.9703583
60301,496.9840443
60401,492.9933396
60501,489.0000777
60601,485.0061619
60701,481.0135664
60801,477.0243359
60901,473.0405859
61001,469.0645029
61101,465.0983439
61201,461.144436
61301,457.205176
61401,453.2830297
61501,449.3802713
61601,445.5002793
61701,441.6449416
61801,437.8172473
61901,434.0199882
62001,430.2560162
62101,426.5282408
62201,422.8396269
62301,419.1931918
62401,415.592002
62501,412.0391704
62601,408.5378521
62701,405.091241
62801,401.7025657
62901,398.3750846
63001,395.1120819
63101,391.9168622
63201,388.7927455
63301,385.7430617
63401,382.771145
63501,379.8803276
63601,377.0739338
63701,374.3552735
63801,371.7276354
63901,369.1942803
64001,366.7584338
64101,364.4232795
64201,362.191951
64301,360.0675251
64401,358.0530135
64501,356.1513555
64601,354.36541
64701,352.6979478
64801,351.1516436
64901,349.7290683
65001,348.4326814
65101,347.2648229
65201,346.227706
65301,345.3234098
65401,344.5538717
65501,343.9208806
65601,343.4260702
65701,343.0709123
65801,342.8567107
65901,342.7845956
66001,342.855518
66101,343.0702446
66201,343.4293534
66301,343.9332299
66401,344.5820631
66501,345.3758426
66601,346.3143568
66701,347.3971901
66801,348.6237226
66901,349.9931288
67001,351.5043781
67101,353.1562355
67201,354.9472628
67301,356.8758209
67401,358.9400725
67501,361.1379851
67601,363.4673358
67701,365.9257155
67801,368.5105345
67901,371.2190284
68001,374.0482648
68101,376.9951505
68201,380.0564391
68301,383.2287394
68401,386.5085241
68501,389.892139
68601,393.3758123
68701,396.9556652
68801,400.6277214
68901,404.3879183
69001,408.2321173
69101,412.1561146
69201,416.1556529
69301,420.2264318
69401,424.364119
69501,428.5643617
69601,432.8227972
69701,437.135064
69801,441.4968119
69901,445.9037132
70001,450.3514717
70101,454.8358336
70201,459.3525959
70301,463.8976159
70401,468.4668198
70501,473.0562104
70601,477.6618748
70701,482.2799914
70801,486.9068367
70901,491.5387907
71001,496.1723428
